file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\util\KeyHandler.java,com.BeMyGuest.util.KeyHandler$Key,innerclass,0,0,0,0,6,1,0,1,1,0.5833334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,24,0,0,1,0,0,0,0,3,0,4,1,0,0,0,10,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\Symptom.java,com.BeMyGuest.mini_game.are_you_ok.Symptom,class,0,5,5,0,9,1,0,0,0,0.5185185,0.5555556,1.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,36,3,0,0,0,0,0,3,9,0,3,0,0,0,0,42,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\Main.java,com.BeMyGuest.Main,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\bigCharacter\BigPlayer.java,com.BeMyGuest.world.street.bigCharacter.BigPlayer,class,2,3,1,2,12,3,0,1,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,2,20,0,0,1,0,0,0,34,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\MentalTest.java,com.BeMyGuest.mini_game.are_you_ok.MentalTest,class,5,8,3,5,13,1,0,33,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,3,2,0,3,0,0,0,0,5,112,5,1,0,1,4,35,28,39,6,39,1,1,0,0,184,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\StreetFrame.java,com.BeMyGuest.world.street.StreetFrame,class,1,2,1,1,1,6,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,28,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\voltorb_flip\VoltorbFlipGUI.java,com.BeMyGuest.mini_game.voltorb_flip.VoltorbFlipGUI$FlipClickListener,innerclass,2,2,0,2,17,1,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,71,0,0,2,4,3,6,12,8,2,2,3,0,0,0,35,10,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\voltorb_flip\Card.java,com.BeMyGuest.mini_game.voltorb_flip.Card,class,2,5,3,2,11,1,0,4,5,0.6545455,0.4,0.8,11,0,10,1,0,0,10,0,0,0,5,0,0,5,0,0,0,0,2,51,6,0,0,0,1,6,2,13,3,7,0,0,0,0,35,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\Array.java,com.BeMyGuest.mini_game.are_you_ok.Array,class,4,8,4,4,50,1,0,7,190,1.0,0.0,0.0,20,20,20,0,0,0,20,0,0,0,2,0,0,2,0,0,0,0,5,165,24,20,1,0,1,0,46,60,20,39,3,0,0,0,124,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\Entity.java,com.BeMyGuest.world.Entity,class,0,5,5,0,8,1,2,0,22,0.9305556,0.10714286,0.10714286,8,0,8,0,0,0,8,0,0,0,18,1,4,1,13,0,6,0,0,44,5,0,0,0,0,4,5,9,0,18,0,0,0,0,38,1025,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\character\Character.java,com.BeMyGuest.world.lounge.character.Character,class,4,10,6,4,55,2,3,25,253,0.87606835,0.10769231,0.42153847,26,0,24,0,2,0,26,0,0,0,9,0,0,5,4,0,1,0,0,182,8,6,10,0,11,3,47,55,26,17,3,0,0,0,88,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\SideConversation.java,com.BeMyGuest.world.street.SideConversation,class,2,4,2,2,11,1,0,10,0,0.46428573,0.71428573,0.71428573,7,0,6,0,1,0,7,0,0,0,4,0,0,4,0,0,1,0,2,41,4,2,1,0,5,2,16,10,7,6,3,0,0,0,50,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\Talk.java,com.BeMyGuest.mini_game.are_you_ok.Talk,class,5,8,3,5,61,1,0,36,47,0.7857143,0.24175824,0.24175824,14,14,14,0,0,0,14,0,0,0,5,5,0,5,0,0,0,0,25,249,7,15,6,3,1,93,37,87,11,70,4,0,0,0,289,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\View.java,com.BeMyGuest.world.street.View,class,2,4,2,2,24,1,0,10,13,0.80419594,0.4,1.0,11,0,10,1,0,0,10,0,0,0,13,0,0,11,2,0,3,0,2,112,4,0,0,2,0,3,12,29,3,14,2,0,0,0,48,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\LoungeFrame.java,com.BeMyGuest.world.lounge.LoungeFrame,class,1,2,1,1,1,6,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,23,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\character\Player.java,com.BeMyGuest.world.lounge.character.Player,class,5,6,1,5,23,3,0,8,14,0.7083333,0.25,0.53571427,8,0,7,0,1,0,8,0,0,0,6,0,0,1,5,0,0,0,2,98,4,0,0,0,2,2,5,25,2,7,1,0,0,0,55,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\bigCharacter\BigCharacter.java,com.BeMyGuest.world.street.bigCharacter.BigCharacter,class,2,4,2,2,16,2,1,9,17,0.90476197,0.04761905,0.04761905,7,0,5,0,2,0,7,0,0,0,6,0,0,1,5,0,1,0,0,55,1,4,5,0,5,3,16,18,4,11,2,0,0,0,52,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\Communicate.java,com.BeMyGuest.world.Communicate,class,0,3,3,0,15,1,0,6,10,0.65,0.43636364,0.6727273,12,1,11,1,0,0,11,0,0,0,5,0,0,5,0,0,0,0,3,72,6,0,0,3,0,3,6,17,0,7,1,0,0,0,31,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\MentalTest.java,com.BeMyGuest.mini_game.are_you_ok.MentalTest$Anonymous1,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,1,0,0,3,2,1,1,1,1,0,0,0,15,-1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\util\KeyHandler.java,com.BeMyGuest.util.KeyHandler,class,3,10,7,3,15,1,0,7,18,0.8863636,0.17857143,0.21428572,8,0,8,0,0,0,8,0,0,0,11,6,11,0,0,0,5,0,0,68,0,2,5,0,0,0,7,15,0,13,1,0,1,0,41,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\Patient.java,com.BeMyGuest.mini_game.are_you_ok.Patient,class,5,10,5,5,31,1,0,21,73,0.7443181,0.32748538,1.0,22,0,19,3,0,0,19,0,0,0,8,0,0,8,0,0,0,0,14,131,12,3,3,0,1,24,18,40,9,18,2,0,0,0,114,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\character\NPC.java,com.BeMyGuest.world.lounge.character.NPC,class,5,8,3,5,23,3,0,8,30,0.74999994,0.24242425,0.56060606,12,0,10,0,2,0,12,0,0,0,5,0,0,5,0,0,1,0,2,93,5,1,8,0,3,6,14,26,6,7,3,0,0,0,67,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\Map.java,com.BeMyGuest.world.Map,class,3,10,7,3,7,5,2,2,9,0.8333333,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,6,0,0,0,6,0,0,0,0,29,3,0,0,0,0,2,0,3,1,6,0,0,0,0,37,1025,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\Street.java,com.BeMyGuest.world.street.Street,class,6,7,1,6,4,6,0,29,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1,41,0,1,0,0,2,11,17,10,3,8,1,0,0,0,89,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\util\BGM.java,com.BeMyGuest.util.BGM,class,0,3,3,0,10,6,0,15,0,0.375,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,4,59,2,0,0,2,0,1,2,10,0,8,1,0,0,0,35,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\street\bigCharacter\BigNPC.java,com.BeMyGuest.world.street.bigCharacter.BigNPC,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\voltorb_flip\VoltorbFlipGUI.java,com.BeMyGuest.mini_game.voltorb_flip.VoltorbFlipGUI,class,5,8,3,5,13,6,0,29,0,0.764706,0.26666668,0.26666668,5,4,5,0,0,0,6,0,0,0,17,5,0,15,0,2,0,0,7,178,0,4,0,1,0,9,31,27,3,23,2,0,1,0,70,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\character\Follower.java,com.BeMyGuest.world.lounge.character.Follower,class,2,4,2,2,11,3,0,3,19,0.71428573,0.04761905,0.04761905,7,0,5,0,2,0,7,0,0,0,1,0,0,1,0,0,1,0,0,36,3,0,0,0,0,0,8,6,0,1,1,0,0,0,37,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\voltorb_flip\Board.java,com.BeMyGuest.mini_game.voltorb_flip.Board,class,3,6,3,3,69,4,0,16,20,0.68235296,0.4952381,1.0,17,1,15,2,0,0,15,0,0,0,5,1,0,5,0,0,0,0,8,211,17,16,6,0,0,13,80,75,2,39,4,0,0,0,76,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\world\lounge\Room.java,com.BeMyGuest.world.lounge.Room,class,13,15,2,13,94,6,0,66,0,0.80193245,0.7777778,0.7777778,9,0,9,0,0,0,9,0,0,0,23,0,0,23,0,0,5,0,3,259,0,10,7,2,14,33,93,76,17,44,4,0,0,0,134,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\are_you_ok\Question.java,com.BeMyGuest.mini_game.are_you_ok.Question,class,3,6,3,3,10,1,0,3,0,0.2777778,0.8333333,1.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,10,47,2,1,0,0,0,0,1,18,0,3,1,0,0,0,38,1,0
C:\Bad_Smells_Java_program\Be_My_Guest-final\src\com\BeMyGuest\mini_game\voltorb_flip\SumCard.java,com.BeMyGuest.mini_game.voltorb_flip.SumCard,class,0,2,2,0,5,1,0,2,0,0.6,0.6,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,26,3,0,0,0,0,4,2,6,2,5,0,0,0,0,30,1,0
