file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\TowerOfMonsters.java,TowerOfMonsters,class,2,2,0,2,6,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0,1,2,2,1,1,2,6,1,4,4,0,0,0,20,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\Character.java,Character,class,2,18,16,2,24,1,3,9,63,0.8229665,0.31578946,0.8947368,19,0,19,0,0,0,19,0,0,0,11,0,0,11,0,0,0,0,12,91,11,0,0,0,1,0,14,21,7,11,2,0,0,0,32,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\StudentTeam.java,StudentTeam,class,8,9,1,8,9,2,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,5,0,1,5,1,5,4,0,0,0,19,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\CSStudent.java,CSStudent,class,4,6,2,4,8,3,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,4,0,12,2,7,2,1,0,0,0,18,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\Triggerable.java,Triggerable,interface,2,7,5,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\Guild.java,Guild,class,4,4,0,4,9,1,0,11,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,31,2,1,0,0,0,2,3,6,1,4,2,0,0,0,16,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\Student.java,Student,class,2,10,8,2,12,2,4,8,6,0.5,0.39285713,0.53571427,8,0,7,0,1,0,8,0,0,0,2,0,0,2,0,0,0,0,0,47,2,0,1,0,3,1,15,6,3,3,1,0,0,0,24,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\SEStudent.java,SEStudent,class,5,7,2,5,12,3,0,13,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,1,3,0,0,3,0,11,4,6,3,2,0,0,0,25,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\Boss.java,Boss,class,5,7,2,5,18,2,0,16,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,0,0,3,0,18,3,3,3,2,0,0,0,26,1,0
C:\Java-OOD-JDeodorant\COMP1202-Coursework-main\CyberStudent.java,CyberStudent,class,5,7,2,5,6,3,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,2,0,8,1,3,1,3,0,0,0,14,1,0
