file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\games\oneplusone\OnePlusOne.java,idh.hotseatgames.games.oneplusone.OnePlusOne,class,4,4,0,4,11,1,0,10,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,0,0,6,50,3,1,0,0,4,20,11,17,15,11,3,0,0,0,45,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\utils\StopWatch.java,idh.hotseatgames.utils.StopWatch,class,1,6,5,1,5,1,0,1,0,0.25,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,17,2,0,0,0,0,1,2,3,1,2,1,0,0,0,32,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\HotSeatGames.java,idh.hotseatgames.HotSeatGames$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\utils\UserInput.java,idh.hotseatgames.utils.UserInput,class,1,11,10,1,10,1,0,8,9,0.6666666,0.1,0.1,6,1,5,1,0,0,5,0,0,0,2,1,0,2,0,0,0,0,1,36,4,2,1,0,0,2,0,4,1,4,1,0,0,0,88,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\GamesManager.java,idh.hotseatgames.GamesManager,class,2,4,2,2,11,1,0,20,2,0.70000005,0.4,0.6,5,0,5,0,0,0,5,0,0,0,6,2,0,6,0,0,2,0,3,48,5,1,2,2,0,11,5,10,3,10,2,0,0,1,75,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\games\blackjack\BlackJack.java,idh.hotseatgames.games.blackjack.BlackJack,class,7,8,1,7,22,1,0,11,6,0.6,0.0,0.0,5,0,3,2,0,0,3,0,0,0,2,0,0,1,0,1,0,0,13,91,13,2,7,0,0,26,41,11,8,7,2,0,0,0,46,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\games\hangryllama\HangryLlama.java,idh.hotseatgames.games.hangryllama.HangryLlama,class,5,5,0,5,6,1,0,12,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,0,0,4,39,3,1,0,0,1,13,6,11,4,10,2,0,0,0,61,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\IGame.java,idh.hotseatgames.IGame,interface,0,10,10,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\games\binory\Binory.java,idh.hotseatgames.games.binory.Binory,class,6,6,0,6,5,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,40,3,1,0,0,0,16,10,7,7,8,2,0,0,1,52,1,0
C:\Bad_Smells_Java_program\HotSeatGames-main\src\idh\hotseatgames\utils\StringUtils.java,idh.hotseatgames.utils.StringUtils,class,2,9,7,2,18,1,0,19,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,49,5,3,4,0,3,18,9,8,7,7,2,0,0,0,127,1,0
