file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\BankCLI.java,com.bank.BankCLI,class,7,9,2,7,26,1,0,11,22,0.9010989,0.42424244,0.42424244,13,12,12,1,0,0,12,0,0,0,7,7,5,2,0,0,0,0,17,149,9,5,0,1,1,48,38,38,5,18,1,0,0,0,62,17,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\Account.java,com.bank.Account,class,3,6,3,3,18,1,0,4,24,0.7307692,0.4090909,1.0,13,1,12,1,0,0,12,0,0,0,6,1,0,6,0,0,0,0,2,62,13,0,4,0,0,2,3,13,2,9,1,0,0,0,36,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\Transaction.java,com.bank.Transaction,class,2,5,3,2,12,1,0,3,0,0.6607143,0.8,1.0,7,1,6,1,0,0,6,0,0,0,8,1,0,8,0,0,0,0,2,45,10,0,4,0,2,4,3,12,3,11,1,0,0,0,33,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\Branch.java,com.bank.Branch,class,1,4,3,1,14,1,0,3,5,0.65,0.5555556,1.0,10,1,9,1,0,0,9,0,0,0,4,1,0,4,0,0,0,0,2,46,11,0,4,0,0,1,3,10,2,7,1,0,0,0,27,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\AccountType.java,com.bank.AccountType,enum,1,5,4,1,7,1,0,1,2,0.5,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,26,6,0,0,0,0,3,5,3,0,3,1,0,0,0,27,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\BalanceTooLowException.java,com.bank.BalanceTooLowException,class,0,2,2,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\TransactionType.java,com.bank.TransactionType,enum,0,2,2,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,5,0,1,0,1,0,0,0,0,22,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\EntityNotFoundException.java,com.bank.EntityNotFoundException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\MenuChoice.java,com.bank.MenuChoice,enum,0,2,2,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,22,0,1,0,1,0,0,0,0,34,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\BankController.java,com.bank.BankController,class,9,11,2,9,40,1,0,44,236,0.82,0.11594203,0.38043478,25,0,24,1,0,0,24,0,0,0,4,0,0,0,0,4,0,0,14,180,22,3,5,0,0,12,18,35,11,33,3,0,0,0,52,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\Customer.java,com.bank.Customer,class,1,4,3,1,14,1,0,3,5,0.65,0.5555556,1.0,10,1,9,1,0,0,9,0,0,0,4,1,0,4,0,0,0,0,2,46,11,0,4,0,0,1,3,10,2,7,1,0,0,0,27,1,0
C:\Bad_Smells_Java_program\SimpleBankProject-master\src\com\bank\BankApp.java,com.bank.BankApp,class,3,3,0,3,34,1,0,31,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,178,0,1,1,11,0,16,15,24,5,2,3,0,0,0,28,1,0
