file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\PianoGUI.java,pianofinal.PianoGUI,class,3,6,3,3,12,6,0,42,21,0.8888889,0.0,0.0,7,1,7,0,0,0,7,0,0,0,9,5,4,5,0,0,0,0,4,249,1,3,0,2,7,36,108,48,26,39,2,2,0,0,133,1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Manual.java,pianofinal.Manual$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Manual.java,pianofinal.Manual,class,1,4,3,1,9,6,0,45,3,0.6666666,0.0,0.0,3,1,2,1,0,0,2,0,0,0,14,0,0,14,0,0,0,0,7,149,0,1,0,1,0,88,51,17,0,17,3,4,0,0,97,1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Manual.java,pianofinal.Manual$Anonymous3,anonymous,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,10,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Menu.java,pianofinal.Menu,class,2,4,2,2,9,6,0,19,8,0.8,0.1,0.1,5,1,5,0,0,0,5,0,0,0,3,3,3,0,0,0,0,0,1,78,1,0,0,0,0,23,12,16,5,16,1,1,0,0,149,1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Manual.java,pianofinal.Manual$Anonymous2,anonymous,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,10,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\PianoGUI.java,pianofinal.PianoGUI$Anonymous1,anonymous,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,2,0,4,1,3,1,0,0,0,14,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Manual.java,pianofinal.Manual$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,10,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\PianoGUI.java,pianofinal.PianoGUI$Anonymous2,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,1,0,0,0,2,0,2,2,0,0,0,9,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\PianoFunctionality.java,pianofinal.PianoFunctionality,class,0,2,2,0,40,1,0,2,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,136,2,0,1,0,35,36,0,38,0,2,1,1,0,0,70,1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\PianoFunctionality.java,pianofinal.PianoFunctionality$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,2,0,2,1,0,0,0,12,-1,0
C:\Bad_Smells_Java_program\VirtualPiano-master\src\pianofinal\Menu.java,pianofinal.Menu$Anonymous1,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,-1,0
