file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\Constants.java,com.es.projector.common.Constants$Texts,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,25,9,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\ui\forms\ScreenShare.java,com.es.projector.ui.forms.ScreenShare,class,6,8,2,6,9,1,0,12,7,0.67857146,0.1904762,0.1904762,7,0,6,1,0,0,7,0,0,0,4,0,0,4,0,0,0,0,3,41,2,0,0,0,0,1,16,5,0,5,1,0,0,0,56,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\rmi\ContentProvider.java,com.es.projector.net.rmi.ContentProvider$ContentProviderListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\ScreenCapture.java,com.es.projector.common.ScreenCapture,class,1,4,3,1,5,1,0,8,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,26,4,1,1,0,0,0,4,9,0,8,1,0,0,0,26,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\Constants.java,com.es.projector.common.Constants$Stream,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,1,1,2,0,2,0,0,0,0,13,9,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\ui\forms\MainWindow.java,com.es.projector.ui.forms.MainWindow$Anonymous1,anonymous,1,1,0,1,2,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,1,0,1,3,2,0,2,2,0,0,1,13,-1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\Client.java,com.es.projector.net.Client,class,3,5,2,3,4,1,0,8,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,5,18,2,0,1,0,0,2,1,4,0,4,1,0,0,0,17,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\NetworkSession.java,com.es.projector.net.NetworkSession,class,1,6,5,1,27,1,0,25,37,0.8,0.0,0.0,10,1,7,3,0,0,7,0,0,0,3,3,0,3,0,0,0,0,8,95,16,3,4,2,2,10,12,18,3,17,4,0,0,0,42,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\Server.java,com.es.projector.net.Server,class,4,6,2,4,10,1,0,13,8,0.65,0.33333334,0.33333334,5,1,3,2,0,0,3,0,0,0,4,2,1,2,0,1,0,0,9,47,5,0,4,1,0,2,4,10,0,9,1,0,0,0,27,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\asset\Asset.java,com.es.projector.asset.Asset,class,0,1,1,0,4,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,20,3,0,2,1,0,1,0,3,0,3,2,0,0,0,17,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\ui\dialogs\Screen.java,com.es.projector.ui.dialogs.Screen,class,0,2,2,0,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\rmi\ShareServiceImpl.java,com.es.projector.net.rmi.ShareServiceImpl,class,2,3,1,2,11,1,0,2,24,0.75,0.16666667,0.16666667,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,37,4,0,1,0,0,0,0,5,0,4,1,0,0,0,26,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\WindowListener.java,com.es.projector.common.WindowListener,class,0,1,1,0,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\rmi\ContentObserver.java,com.es.projector.net.rmi.ContentObserver$ContentObserverListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\net\rmi\ContentProvider.java,com.es.projector.net.rmi.ContentProvider,class,5,7,2,5,11,1,0,18,0,0.52,0.33333334,0.33333334,5,0,4,1,0,0,4,0,0,0,5,1,1,4,0,0,0,0,6,57,1,1,3,1,0,0,5,14,2,11,3,0,1,0,41,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\Constants.java,com.es.projector.common.Constants$Application,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,13,9,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\common\ImageManipulator.java,com.es.projector.common.ImageManipulator,class,3,8,5,3,10,1,0,17,21,0.0,0.0,0.0,7,7,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,50,9,0,1,2,2,1,3,9,4,9,1,0,0,0,44,1,0
C:\Bad_Smells_Java_program\desk-projector-main\src\main\java\com\es\projector\ui\dialogs\ImageListRenderer.java,com.es.projector.ui.dialogs.ImageListRenderer,class,0,1,1,0,2,6,0,5,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,14,1,0,0,0,0,1,1,3,0,3,0,0,0,0,19,1,0
