file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\Kart.java,section3.Kart,class,1,3,2,1,22,1,0,17,0,0.6339286,0.4945055,0.85714287,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,10,88,3,1,2,1,0,9,22,33,16,15,2,0,0,0,138,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section1\Game.java,section1.Game,class,2,3,1,2,2,6,0,5,1,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,2,0,0,0,0,0,0,0,40,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section1\GamePanel.java,section1.GamePanel,class,1,2,1,1,3,5,0,8,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,36,0,0,0,0,0,1,7,4,0,4,0,1,0,0,49,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GameServer.java,section3.GameServer,class,2,4,2,2,21,7,0,34,0,0.6333333,0.16666667,0.16666667,8,1,2,4,0,2,4,0,0,2,15,1,0,4,0,11,1,0,2,236,1,3,4,6,0,22,5,25,8,23,3,0,1,2,152,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section1\Kart.java,section1.Kart,class,1,3,2,1,17,1,0,11,0,0.6375,0.5714286,1.0,8,0,8,0,0,0,8,0,0,0,9,1,0,7,0,2,4,0,5,71,2,1,3,1,2,1,25,25,21,14,2,0,0,0,51,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section2\GamePanel.java,section2.GamePanel,class,2,4,2,2,18,5,0,39,2,0.7539683,1.0,1.0,9,0,3,6,0,0,3,0,0,0,14,0,0,9,1,4,8,0,4,142,2,0,1,2,0,7,29,22,5,23,2,1,0,0,124,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GameClient.java,section3.GameClient,class,2,3,1,2,6,6,0,23,0,0.2857143,0.0,0.0,4,1,2,2,0,0,2,0,0,0,6,0,0,4,0,2,5,0,3,65,0,0,0,1,0,11,6,14,1,16,1,0,0,3,82,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section2\GamePanel.java,section2.GamePanel$Anonymous1,anonymous,0,0,0,0,9,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GamePanel.java,section3.GamePanel,class,2,4,2,2,42,5,0,63,38,0.83660126,0.3611111,0.7777778,17,0,3,8,5,1,9,0,0,1,18,0,0,17,0,1,4,0,9,221,7,4,4,5,0,20,40,38,19,37,2,2,0,0,251,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section2\Kart.java,section2.Kart,class,1,3,2,1,20,1,0,14,18,0.71875,0.33333334,0.56060606,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,3,73,2,1,2,1,0,2,22,24,15,13,2,0,0,0,114,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GameServer.java,section3.GameServer$ClientThread,innerclass,2,2,0,2,17,2,0,17,0,0.2,NaN,NaN,3,0,1,2,0,0,1,0,0,1,5,0,0,3,0,2,1,0,0,83,2,3,3,3,1,26,3,11,14,10,4,0,0,0,95,2,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section1\GamePanel.java,section1.GamePanel$Anonymous1,anonymous,0,0,0,0,5,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GamePanel.java,section3.GamePanel$Anonymous1,anonymous,0,0,0,0,5,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section2\Game.java,section2.Game,class,2,3,1,2,2,6,0,5,1,0.0,0.0,0.0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,2,0,1,0,0,0,0,29,1,0
C:\Java-OOD-JDeodorant\karts-with-sockets-main\src\section3\GamePanel.java,section3.GamePanel$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
